"Train_No","Train_Name","Source_Station_Name","Destination_Station_Name","days"
"12608","SBC-MAS LALB","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","CHENNAI CENTRAL","Friday"
"12609","MAS-SBC EXP","CHENNAI CENTRAL","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Thursday"
"12610","SBC-MAS EXP","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","CHENNAI CENTRAL","Tuesday"
"12611","MAS-NZM GARI","CHENNAI CENTRAL","HAZRAT NIZAMUDDIN JN","Tuesday"
"12612","NZM-MAS GARI","HAZRAT NIZAMUDDIN JN","CHENNAI CENTRAL","Tuesday"
"12613","TIPU EXPRESS","MYSORE JN.","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Monday"
"12614","TIPPU EXP","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","MYSORE JN.","Wednesday"
"12615","MAS-NDLS GRA","CHENNAI CENTRAL","DELHI-SARAI ROHILLA","Monday"
"12616","G T EXPRESS","DELHI-SARAI ROHILLA","CHENNAI CENTRAL","Monday"
"12617","MANGALA LDWE","ERNAKULAM. JN","HAZRAT NIZAMUDDIN JN","Wednesday"
"12618","MNGLA LKSDP","HAZRAT NIZAMUDDIN JN","ERNAKULAM. JN","Monday"
"12619","MATSYAGANDHA","LOKMANYA TILAK TERMINUS","MANGALORE CENTRAL","Saturday"
"12620","MATSYAGANDA","MANGALORE CENTRAL","LOKMANYA TILAK TERMINUS","Sunday"
"12621","MAS-NDLS TAM","CHENNAI CENTRAL","NEW DELHI","Saturday"
"12622","NDLS-MAS TAM","NEW DELHI","CHENNAI CENTRAL","Friday"
"12623","TRIVANDRUM M","CHENNAI CENTRAL","TRIVANDRUM CENTRAL","Saturday"
"12624","CHENNAI MAIL","TRIVANDRUM CENTRAL","CHENNAI CENTRAL","Sunday"
"12625","KERALA EXPRE","TRIVANDRUM CENTRAL","NEW DELHI","Friday"
"12626","NDLS-TVC KER","NEW DELHI","TRIVANDRUM CENTRAL","Thursday"
"12627","SBC-NDLS KAR","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","NEW DELHI","Sunday"
"12628","NDLS-SBC KAR","NEW DELHI","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Saturday"
"12629","SAMPARKRANTH","YESVANTPUR JN.","HAZRAT NIZAMUDDIN JN","Monday"
"12630","SAMPARKRANTH","HAZRAT NIZAMUDDIN JN","YESVANTPUR JN.","Thursday"
"12631","MS-TEN NELLA","CHENNAI EGMORE","TIRUNELVELI JN","Friday"
"12632","TEN-MS NELLA","TIRUNELVELI JN","CHENNAI EGMORE","Wednesday"
"12633","MS-CAPE EXP.","CHENNAI EGMORE","KANNIYAKUMARI","Tuesday"
"12634","CAPE-MS EXP.","KANNIYAKUMARI","CHENNAI EGMORE","Monday"
"12635","MS-MDU VAIGA","CHENNAI EGMORE","MADURAI JN","Wednesday"
"12636","MDU-MS VAIGA","MADURAI JN","CHENNAI EGMORE","Saturday"
"12637","PANDIAN EXP","CHENNAI EGMORE","MADURAI JN","Wednesday"
"12638","MDU-MS PANDI","MADURAI JN","CHENNAI EGMORE","Monday"
"12639","MAS-SBC BRIN","CHENNAI CENTRAL","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Wednesday"
"12640","SBC-MAS BRIN","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","CHENNAI CENTRAL","Monday"
"12641","CAPE- NZM TI","KANNIYAKUMARI","HAZRAT NIZAMUDDIN JN","Tuesday"
"12642","NZM-CAPE THI","HAZRAT NIZAMUDDIN JN","KANNIYAKUMARI","Thursday"
"12643","NIZAMUDDIN E","TRIVANDRUM CENTRAL","HAZRAT NIZAMUDDIN JN","Wednesday"
"12644","SWARNA JAYAN","HAZRAT NIZAMUDDIN JN","TRIVANDRUM CENTRAL","Tuesday"
"12645","ERS-NZM MILL","ERNAKULAM. JN","HAZRAT NIZAMUDDIN JN","Wednesday"
"12646","ERS-NZM  MIL","HAZRAT NIZAMUDDIN JN","ERNAKULAM. JN","Friday"
"12647","KONGU EXPRES","COIMBATORE  JN.","HAZRAT NIZAMUDDIN JN","Sunday"
"12648","KONGU EXPRES","HAZRAT NIZAMUDDIN JN","COIMBATORE  JN.","Friday"
"12649","SAMPARKAKRAN","YESVANTPUR JN.","HAZRAT NIZAMUDDIN JN","Monday"
"12650","SAMPARKAKRAN","HAZRAT NIZAMUDDIN JN","YESVANTPUR JN.","Wednesday"
"12651","MDU-NZM  EXP","MADURAI JN","HAZRAT NIZAMUDDIN JN","Thursday"
"12652","NZM-MDU EXP.","HAZRAT NIZAMUDDIN JN","MADURAI JN","Thursday"
"12653","ROCKFORT EXP","CHENNAI EGMORE","TIRUCHIRAPPALLI JN.","Sunday"
"12654","ROCKFORT EXP","TIRUCHIRAPPALLI JN.","CHENNAI EGMORE","Thursday"
"12655","NAVAJEEVAN E","AHMEDABAD","CHENNAI CENTRAL","Thursday"
"12656","NAVAJEEVAN E","CHENNAI CENTRAL","AHMEDABAD","Sunday"
"12657","MAS-SBC MAIL","CHENNAI CENTRAL","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Friday"
"12658","SBC-MAS MAIL","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","CHENNAI CENTRAL","Sunday"
"12659","NCJ-SHM GURU","NAGERCOIL JN.","SHALIMAR","Sunday"
"12660","SHM-NCJ GURU","SHALIMAR","NAGERCOIL JN.","Friday"
"12661","MS-SCT POTHI","CHENNAI EGMORE","SENGOTTAI JN","Wednesday"
"12662","SCT-MS POTHI","SENGOTTAI JN","CHENNAI EGMORE","Sunday"
"12663","HWH-TPJ EXPR","HOWRAH JN.","TIRUCHIRAPPALLI JN.","Friday"
"12664","TPJ-HWH EXP","TIRUCHIRAPPALLI JN.","HOWRAH JN.","Wednesday"
"12665","HWH-CAPE EXP","HOWRAH JN.","KANNIYAKUMARI","Wednesday"
"12666","CAPE HWH EXP","KANNIYAKUMARI","HOWRAH JN.","Monday"
"12667","MS-NCJ EXP.","CHENNAI EGMORE","NAGERCOIL JN.","Sunday"
"12668","NCJ-MS EXP.","NAGERCOIL JN.","CHENNAI EGMORE","Monday"
"12669","MAS-CPR GANG","CHENNAI CENTRAL","CHHAPRA JN.","Friday"
"12670","CPR-MAS GANG","CHHAPRA JN.","CHENNAI CENTRAL","Tuesday"
"12671","MAS-MTP NILA","CHENNAI CENTRAL","METTUPALAIYAM JN.","Friday"
"12672","MTP-MAS NILA","METTUPALAIYAM JN.","CHENNAI CENTRAL","Tuesday"
"12673","MAS-CBE CHER","CHENNAI CENTRAL","COIMBATORE  JN.","Thursday"
"12674","CBE-MAS CHER","COIMBATORE  JN.","CHENNAI CENTRAL","Tuesday"
"12675","MAS-CBE KOVA","CHENNAI CENTRAL","COIMBATORE  JN.","Tuesday"
"12676","CBE-MAS KOVA","COIMBATORE  JN.","CHENNAI CENTRAL","Tuesday"
"12677","SBC-ERS INTE","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","ERNAKULAM. JN","Friday"
"12678","ERS-SBC INTE","ERNAKULAM. JN","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Saturday"
"12679","MAS-CBE INTE","CHENNAI CENTRAL","COIMBATORE  JN.","Wednesday"
"12680","CBE-MAS INTE","COIMBATORE  JN.","CHENNAI CENTRAL","Tuesday"
"12681","MAS CBE EXP","CHENNAI CENTRAL","COIMBATORE  JN.","Thursday"
"12682","CHENNAI EXP","COIMBATORE  JN.","CHENNAI CENTRAL","Wednesday"
"12683","ERS-SBC EXP","ERNAKULAM. JN","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Friday"
"12684","SBC-ERS EXP","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","ERNAKULAM. JN","Thursday"
"12685","MAS-MAQ EXP.","CHENNAI CENTRAL","MANGALORE CENTRAL","Sunday"
"12686","MAQ-MAS EXP.","MANGALORE CENTRAL","CHENNAI CENTRAL","Tuesday"
"12687","MDU-DDN/CDG","MADURAI JN","DEHRA DUN","Wednesday"
"12688","DDN/CDG-MAS","DEHRA DUN","MADURAI JN","Friday"
"12689","MAS-NCJ EXP.","CHENNAI CENTRAL","NAGERCOIL JN.","Friday"
"12690","NCJ-MAS EXP","NAGERCOIL JN.","CHENNAI CENTRAL","Tuesday"
"12691","MAS-SSPN EXP","CHENNAI CENTRAL","SRI SATYA SAI PRASANTI NILAYAM","Friday"
"12692","MAS-SSPN EXP","SRI SATYA SAI PRASANTI NILAYAM","CHENNAI CENTRAL","Monday"
"12693","MS-TN PEARL","CHENNAI EGMORE","TUTICORIN","Tuesday"
"12694","TN-MS PEARL","TUTICORIN","CHENNAI EGMORE","Saturday"
"12695","MAS - TVC SU","CHENNAI CENTRAL","TRIVANDRUM CENTRAL","Wednesday"
"12696","TVC - MAS SU","TRIVANDRUM CENTRAL","CHENNAI CENTRAL","Tuesday"
"12697","MAS-TVC EXP.","CHENNAI CENTRAL","TRIVANDRUM CENTRAL","Wednesday"
"12698","TVC-MAS EXP","TRIVANDRUM CENTRAL","CHENNAI CENTRAL","Tuesday"
"12701","CSMT-HYB HUS","CST-MUMBAI","HYDERABAD DECCAN","Saturday"
"12702","HYB-CSMT HUS","HYDERABAD DECCAN","CST-MUMBAI","Wednesday"
"12703","HWH-SC FALAK","HOWRAH JN.","SECUNDERABAD JN.","Saturday"
"12704","SC-HWH FALAK","SECUNDERABAD JN.","HOWRAH JN.","Saturday"
"12705","GNT-SC INTER","GUNTUR JN.","SECUNDERABAD JN.","Thursday"
"12706","SC-GNT INTER","SECUNDERABAD JN.","GUNTUR JN.","Sunday"
"12707","TPTY-NZM AP","TIRUPATI","HAZRAT NIZAMUDDIN JN","Friday"
"12708","AP SAMPARK K","HAZRAT NIZAMUDDIN JN","TIRUPATI","Sunday"
"12709","GDR-SC SIMHA","GUDUR JN.","SECUNDERABAD JN.","Thursday"
"12710","SC-GDR SIMHA","SECUNDERABAD JN.","GUDUR JN.","Tuesday"
"12711","BZA-MAS PINA","VIJAYWADA JN.","CHENNAI CENTRAL","Friday"
"12712","MAS-BZA PINA","CHENNAI CENTRAL","VIJAYWADA JN.","Monday"
"12713","BZA-SC SATAV","VIJAYWADA JN.","SECUNDERABAD JN.","Saturday"
"12714","SC-BZA SATAV","SECUNDERABAD JN.","VIJAYWADA JN.","Wednesday"
"12715","NED-ASR SACH","NANDED","AMRITSAR JN.","Friday"
"12716","ASR-NED SACH","AMRITSAR JN.","NANDED","Saturday"
"12717","VSKP-BZA RAT","VISAKHAPATNAM","VIJAYWADA JN.","Tuesday"
"12718","BZA-VSKP  RA","VIJAYWADA JN.","VISAKHAPATNAM","Monday"
"12719","AII-HYB  EXP","AJMER JN.","HYDERABAD DECCAN","Monday"
"12720","HYB-AII EXP","HYDERABAD DECCAN","AJMER JN.","Saturday"
"12721","HYB-NZM DAKS","HYDERABAD DECCAN","HAZRAT NIZAMUDDIN JN","Tuesday"
"12722","NZM-HYB DAKS","HAZRAT NIZAMUDDIN JN","HYDERABAD DECCAN","Monday"
"12723","TELANGANA EX","HYDERABAD DECCAN","NEW DELHI","Sunday"
"12724","TELANGANA EX","NEW DELHI","HYDERABAD DECCAN","Monday"
"12725","SIDHAGANAGA","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","DHARWAD","Wednesday"
"12726","SIDHAGANGA I","DHARWAD","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Thursday"
"12727","VSKP-HYB GOD","VISAKHAPATNAM","HYDERABAD DECCAN","Tuesday"
"12728","HYB-VSKP GOD","HYDERABAD DECCAN","VISAKHAPATNAM","Saturday"
"12729","PUNE-NED EXP","PUNE JN.","NANDED","Sunday"
"12730","NED-PUNE EXP","NANDED","PUNE JN.","Sunday"
"12731","TPTY-SC EXP","TIRUPATI","SECUNDERABAD JN.","Wednesday"
"12732","SC-TPTY EXP","SECUNDERABAD JN.","TIRUPATI","Thursday"
"12733","TPTY-SC NARA","TIRUPATI","SECUNDERABAD JN.","Thursday"
"12734","SC-TPTY NARA","SECUNDERABAD JN.","TIRUPATI","Tuesday"
"12735","SC-YPR GARIB","SECUNDERABAD JN.","YESVANTPUR JN.","Tuesday"
"12736","YPR-SC GARIB","YESVANTPUR JN.","SECUNDERABAD JN.","Monday"
"12737","COA-SC GOWTA","KAKINADA PORT","SECUNDERABAD JN.","Saturday"
"12738","SC-COA GOWTA","SECUNDERABAD JN.","KAKINADA PORT","Sunday"
"12739","VSKP-SC GARI","VISAKHAPATNAM","SECUNDERABAD JN.","Monday"
"12740","SC-VSKP GARI","SECUNDERABAD JN.","VISAKHAPATNAM","Sunday"
"12741","VSG-PNBE EXP","VASCO-DA-GAMA","PATNA JN.","Friday"
"12742","PNBE-VSG EXP","PATNA JN.","VASCO-DA-GAMA","Tuesday"
"12747","GNT-VKB PALA","GUNTUR JN.","VIKRABAD JN.","Saturday"
"12748","VKB-GNT PALA","VIKRABAD JN.","GUNTUR JN.","Monday"
"12749","MTM EXP","MACHILIPATNAM","SECUNDERABAD JN.","Sunday"
"12750","MACHILIPATNA","SECUNDERABAD JN.","MACHILIPATNAM","Monday"
"12757","SC-SKZR EXP","SECUNDERABAD JN.","SIRPURKAGHAZ NAGAR","Sunday"
"12758","SKZR-SC  EXP","SIRPURKAGHAZ NAGAR","SECUNDERABAD JN.","Saturday"
"12759","MAS-HYB CHAR","CHENNAI CENTRAL","HYDERABAD DECCAN","Sunday"
"12760","HYB-MAS CHAR","HYDERABAD DECCAN","CHENNAI CENTRAL","Monday"
"12761","TPTY-KRMR  E","TIRUPATI","KARIM NAGAR","Saturday"
"12762","KRMR-TPTY EX","KARIM NAGAR","TIRUPATI","Monday"
"12763","TPTY-SC PADM","TIRUPATI","SECUNDERABAD JN.","Friday"
"12764","SC-TPTY PADM","SECUNDERABAD JN.","TIRUPATI","Tuesday"
"12765","TPTY-AMI EXP","TIRUPATI","AMRAVATI","Friday"
"12766","AMI-TPTY EXP","AMRAVATI","TIRUPATI","Monday"
"12767","NED-SRC EXP","NANDED","SANTRAGACHI JN.","Sunday"
"12768","SRC-NED  EXP","SANTRAGACHI JN.","NANDED","Saturday"
"12769","TPTY-SC  SEV","TIRUPATI","SECUNDERABAD JN.","Sunday"
"12770","SC-TPTY  SEV","SECUNDERABAD JN.","TIRUPATI","Sunday"
"12771","SC-NGP  EXP","SECUNDERABAD JN.","NAGPUR JN.(CR)","Friday"
"12772","NGP-SC EXP","NAGPUR JN.(CR)","SECUNDERABAD JN.","Saturday"
"12773","SHM-SC AC EX","SHALIMAR","SECUNDERABAD JN.","Tuesday"
"12774","SC-SHM AC  E","SECUNDERABAD JN.","SHALIMAR","Sunday"
"12775","CCT-SC COCAN","KAKINADA TOWN","SECUNDERABAD JN.","Tuesday"
"12776","SC-CCT COCAN","SECUNDERABAD JN.","KAKINADA TOWN","Sunday"
"12777","UBL-KCVL EXP","HUBLI JN.","KOCHUVELI","Tuesday"
"12778","KCVL- UBL EX","KOCHUVELI","HUBLI JN.","Thursday"
"12779","GOA EXPRESS","VASCO-DA-GAMA","HAZRAT NIZAMUDDIN JN","Friday"
"12780","GOA EXPRESS","HAZRAT NIZAMUDDIN JN","VASCO-DA-GAMA","Saturday"
"12781","SWARNA JAYAN","MYSORE JN.","HAZRAT NIZAMUDDIN JN","Thursday"
"12782","SWARNA JAYAN","HAZRAT NIZAMUDDIN JN","MYSORE JN.","Wednesday"
"12783","VSKP-SC SUF","VISAKHAPATNAM","SECUNDERABAD JN.","Tuesday"
"12784","SC-VSKP AC W","SECUNDERABAD JN.","VISAKHAPATNAM","Thursday"
"12785","KCG-SBC EXP","KACHEGUDA","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","Saturday"
"12786","SBC-KCG EXP","KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)","KACHEGUDA","Friday"
"12791","SC-DNR EXP","SECUNDERABAD JN.","DANAPUR","Sunday"
"12792","DNR-SC EXP","DANAPUR","SECUNDERABAD JN.","Friday"
"12795","BZA-SC SUP E","VIJAYWADA JN.","SECUNDERABAD JN.","Tuesday"
"12796","SC-BZA SUP E","SECUNDERABAD JN.","VIJAYWADA JN.","Thursday"
"12797","KCG-CTO VENK","KACHEGUDA","CHITTOOR","Monday"
"12798","CTO-KCG VENK","CHITTOOR","KACHEGUDA","Thursday"
"12801","PURI-NDLS PU","PURI","NEW DELHI","Monday"
"12802","NDLS-PURI PU","NEW DELHI","PURI","Sunday"
"12803","VSKP-NZM SWA","VISAKHAPATNAM","HAZRAT NIZAMUDDIN JN","Friday"
"12804","VSKP SWRN J","HAZRAT NIZAMUDDIN JN","VISAKHAPATNAM","Tuesday"
"12805","VSKP-SC JANM","VISAKHAPATNAM","SECUNDERABAD JN.","Wednesday"
"12806","SC-VSKP JANM","SECUNDERABAD JN.","VISAKHAPATNAM","Wednesday"
"12807","VSKP-NZM SAM","VISAKHAPATNAM","HAZRAT NIZAMUDDIN JN","Thursday"
"12808","NZM-VSKP SAM","HAZRAT NIZAMUDDIN JN","VISAKHAPATNAM","Tuesday"
"12809","CSMT HWH MAI","CST-MUMBAI","HOWRAH JN.","Friday"
"12810","HWH CSMT MAI","HOWRAH JN.","CST-MUMBAI","Tuesday"
"12811","LTT HTE EXPR","LOKMANYA TILAK TERMINUS","HATIA","Sunday"
"12812","HTE LTT EXPR","HATIA","LOKMANYA TILAK TERMINUS","Saturday"
"12813","HWH-TATA STE","HOWRAH JN.","TATANAGAR JN","Sunday"
"12814","TATA-HWH STE","TATANAGAR JN","HOWRAH JN.","Wednesday"
"12815","NANDAN KANAN","PURI","NEW DELHI","Sunday"
"12816","NANDAN KANAN","NEW DELHI","PURI","Wednesday"
"12817","HTE ANVT EXP","HATIA","ANAND VIHAR TERMINAL","Friday"
"12818","ANVT HTE EXP","ANAND VIHAR TERMINAL","HATIA","Thursday"
"12819","BBS-NDLS SAM","BHUBANESWAR","ANAND VIHAR TERMINAL","Monday"
"12820","ANVT-BBS SAM","ANAND VIHAR TERMINAL","BHUBANESWAR","Monday"
"12821","HWH-BBS-PURI","HOWRAH JN.","PURI","Wednesday"
"12822","PURI-BBS-HWH","PURI","HOWRAH JN.","Tuesday"
"12823","DURG-NZM CG","DURG","HAZRAT NIZAMUDDIN JN","Monday"
"12824","NZM-DURG CG","HAZRAT NIZAMUDDIN JN","DURG","Thursday"
"12825","RNC NDLS SAM","RANCHI","NEW DELHI","Tuesday"
"12826","NDLS RNC SAM","NEW DELHI","RANCHI","Thursday"
"12827","HWH PRR EXPR","HOWRAH JN.","PURULIA JN.","Wednesday"
"12828","PRR HWH EXPR","PURULIA JN.","HOWRAH JN.","Wednesday"
"12829","CEN-BBS WEEK","CHENNAI CENTRAL","BHUBANESWAR","Saturday"
"12830","BBS-CEN WEEK","BHUBANESWAR","CHENNAI CENTRAL","Monday"
"12831","BKSC-BBS GAR","BOKARO STEEL CITY","BHUBANESWAR","Friday"
"12832","BBS-BKSC GAR","BHUBANESWAR","BOKARO STEEL CITY","Sunday"
"12833","ADI -HOWRAH","AHMEDABAD","HOWRAH JN.","Thursday"
"12834","HOWRAH-AHMED","HOWRAH JN.","AHMEDABAD","Sunday"
"12835","HTE-YPR  BI-","HATIA","YESVANTPUR JN.","Monday"
"12836","YPR-HTE BI-W","YESVANTPUR JN.","HATIA","Saturday"
"12837","HOWRAH-PURI","HOWRAH JN.","PURI","Saturday"
"12838","PURI-HWH EXP","PURI","HOWRAH JN.","Tuesday"
"12839","HWH-MAS MAIL","HOWRAH JN.","CHENNAI CENTRAL","Monday"
"12840","MAS-HWH MAIL","CHENNAI CENTRAL","HOWRAH JN.","Saturday"
"12841","HOWRAH-CHENN","HOWRAH JN.","CHENNAI CENTRAL","Tuesday"
"12842","COROMANDEL E","CHENNAI CENTRAL","HOWRAH JN.","Wednesday"
"12843","PUI-ADI S/F","PURI","AHMEDABAD","Sunday"
"12844","ADI-PURI S/F","AHMEDABAD","PURI","Sunday"
"12845","BBS-YPR S/FA","BHUBANESWAR","BANGALORE CANTT.","Saturday"
"12846","BHUBANESHWAR","BANGALORE CANTT.","BHUBANESWAR","Friday"
"12847","HWH-DGHA SUP","HOWRAH JN.","DIGHA FS","Friday"
"12848","DGHA-HWH SUP","DIGHA FS","HOWRAH JN.","Friday"
"12849","BSP - PUNE S","BILASPUR JN.","PUNE JN.","Thursday"
"12850","PUNE - BSP S","PUNE JN.","BILASPUR JN.","Thursday"
"12851","BSP - MAS SF","BILASPUR JN.","CHENNAI CENTRAL","Tuesday"
"12852","MAS - BSP SF","CHENNAI CENTRAL","BILASPUR JN.","Friday"
"12853","DURG-BPL AMA","DURG","BHOPAL","Wednesday"
"12854","BPL-DURG AMA","BHOPAL","DURG","Tuesday"
"12855","BSP - NGP IN","BILASPUR JN.","NAGPUR JN.(CR)","Sunday"
"12856","NGP - BSP IN","NAGPUR JN.(CR)","BILASPUR JN.","Tuesday"
"12857","TAMRALIPTA","HOWRAH JN.","DIGHA FS","Saturday"
"12858","TAMRALIPTA","DIGHA FS","HOWRAH JN.","Monday"
"12859","HWH-CSMT","CST-MUMBAI","HOWRAH JN.","Wednesday"
"12860","HWH-CSMT GEE","HOWRAH JN.","CST-MUMBAI","Sunday"
"12861","VSKP-KZJ LIN","VISAKHAPATNAM","KAZIPET JN.","Friday"
"12862","KZJ-VSKP LIN","KAZIPET JN.","VISAKHAPATNAM","Thursday"
"12863","HOWRAH YESVA","HOWRAH JN.","YESVANTPUR JN.","Friday"
"12864","YPR HOWRAH E","YESVANTPUR JN.","HOWRAH JN.","Friday"
"12865","HWH-PRR LALM","HOWRAH JN.","PURULIA JN.","Monday"
"12866","PRR-HWH LALM","PURULIA JN.","HOWRAH JN.","Sunday"
"12867","HWH-PDY WEEK","HOWRAH JN.","PONDICHERRY","Sunday"
"12868","PDY-HWH WKY","PONDICHERRY","HOWRAH JN.","Wednesday"
"12869","CSMT-HWH WEE","CST-MUMBAI","HOWRAH JN.","Monday"
"12870","HWH-CSTM WEE","HOWRAH JN.","CST-MUMBAI","Saturday"
"12871","HWH-TIG ISPA","HOWRAH JN.","TITLA GARH JN.","Tuesday"
"12872","TIG-HWH ISPA","TITLA GARH JN.","HOWRAH JN.","Saturday"
"12873","HTE-ANVT EXP","HATIA","ANAND VIHAR TERMINAL","Friday"
"12874","ANVT HTE  EX","ANAND VIHAR TERMINAL","HATIA","Saturday"
"12875","PURI-NDLS NE","PURI","NEW DELHI","Sunday"
"12876","NDLS-PURI NE","NEW DELHI","PURI","Tuesday"
"12877","RNC-NDLS GBR","RANCHI","NEW DELHI","Monday"
"12878","NDLS RNC GBR","NEW DELHI","RANCHI","Wednesday"
"12879","LTT-BBS BI-W","LOKMANYA TILAK TERMINUS","BHUBANESWAR","Tuesday"
"12880","BBS-LTT BI-W","BHUBANESWAR","LOKMANYA TILAK TERMINUS","Wednesday"
"12881","HWH-PURI GAR","HOWRAH JN.","PURI","Friday"
"12882","PURI-HWH GAR","PURI","HOWRAH JN.","Sunday"
"12883","SRC PURULIA","SANTRAGACHI JN.","PURULIA JN.","Friday"
"12884","PURULIA HWH","PURULIA JN.","HOWRAH JN.","Sunday"
"12885","SHM-BJE  ARA","SHALIMAR","BHOJUDIH JN.","Monday"
"12886","BJE-SHM ARAN","BHOJUDIH JN.","SHALIMAR","Friday"
"12887","HWH-PURI S/F","HOWRAH JN.","PURI","Friday"
"12888","PURI-HWH S/F","PURI","HOWRAH JN.","Sunday"
"12889","TATA YPR EXP","TATANAGAR JN","YESVANTPUR JN.","Tuesday"
"12890","YPR TATA EXP","YESVANTPUR JN.","TATANAGAR JN","Wednesday"
"12891","BGY BBS EXPR","BANGRIPOSI","BHUBANESWAR","Friday"
"12892","BBS BGY EXPR","BHUBANESWAR","BANGRIPOSI","Sunday"
"12893","BBS-BLGR S/F","BHUBANESWAR","BALANGIR","Sunday"
"12894","BLGR-BBS S/F","BALANGIR","BHUBANESWAR","Saturday"
"12895","HWH-PURI WEE","HOWRAH JN.","PURI","Saturday"
"12896","PURI-HWH WEE","PURI","HOWRAH JN.","Thursday"
"12897","PDY-BBS WEEK","PONDICHERRY","BHUBANESWAR","Tuesday"
"12898","BBS-PDY S/F","BHUBANESWAR","PONDICHERRY","Saturday"
"12901","GUJARAT MAIL","MUMBAI CENTRAL","AHMEDABAD","Monday"
"12902","GUJARAT MAIL","AHMEDABAD","MUMBAI CENTRAL","Tuesday"
"12903","GOLDENTEMPLE","MUMBAI CENTRAL","AMRITSAR JN.","Friday"
"12904","GOLDN TEMPLE","AMRITSAR JN.","MUMBAI CENTRAL","Thursday"
"12905","PBR HOWRAH E","PORBANDAR","HOWRAH JN.","Saturday"
"12906","HWH PBR  OKH","HOWRAH JN.","PORBANDAR","Monday"
"12907","BDTS SMPRK K","BANDRA TERMINUS","HAZRAT NIZAMUDDIN JN","Wednesday"
"12908","MHRST SMPRK","HAZRAT NIZAMUDDIN JN","BANDRA TERMINUS","Wednesday"
"12909","NZM GARIB RA","BANDRA TERMINUS","HAZRAT NIZAMUDDIN JN","Wednesday"
"12910","BDTS GARIB R","HAZRAT NIZAMUDDIN JN","BANDRA TERMINUS","Sunday"
"12911","BL HARIDWAR","VALSAD","HARIDWAR JN","Monday"
"12912","HW BL SUP EX","HARIDWAR JN","VALSAD","Sunday"
"12913","TRISHATABDI","INDORE BG","NAGPUR JN.(CR)","Tuesday"
"12914","TRISHATABDI","NAGPUR JN.(CR)","INDORE BG","Monday"
"12915","ASHRAM EXPRE","AHMEDABAD","DELHI JN.","Wednesday"
"12916","ASHRAM EXPRE","DELHI JN.","AHMEDABAD","Friday"
"12917","GUJARAT SMPR","AHMEDABAD","HAZRAT NIZAMUDDIN JN","Monday"
"12918","GUJRAT S KRA","HAZRAT NIZAMUDDIN JN","AHMEDABAD","Tuesday"
"12919","MALWA EXPRES","INDORE BG","SHRI MATA VAISHNO DEVI KATRA","Sunday"
"12920","MALWA EXPRES","SHRI MATA VAISHNO DEVI KATRA","INDORE BG","Tuesday"
"12921","FLYING RANEE","MUMBAI CENTRAL","SURAT","Thursday"
"12922","FLYING RANEE","SURAT","MUMBAI CENTRAL","Tuesday"
"12923","INDB NAGPUR","INDORE BG","NAGPUR JN.(CR)","Monday"
"12924","NGP INDORE E","NAGPUR JN.(CR)","INDORE BG","Monday"
"12925","PASCHIM EXPR","BANDRA TERMINUS","AMRITSAR JN.","Tuesday"
"12926","PASCHIM EXPR","AMRITSAR JN.","BANDRA TERMINUS","Friday"
"12927","VADODARA EXP","MUMBAI CENTRAL","VADODARA JN.","Saturday"
"12928","VADODARA EXP","VADODARA JN.","MUMBAI CENTRAL","Monday"
"12929","BL-DHD INTER","VALSAD","DAHOD","Saturday"
"12930","DHD - BL  IN","DAHOD","VALSAD","Saturday"
"12931","ADI DOUBLE D","MUMBAI CENTRAL","AHMEDABAD","Friday"
"12932","BCT DOUBLEDE","AHMEDABAD","MUMBAI CENTRAL","Tuesday"
"12933","KARNAVATI EX","MUMBAI CENTRAL","AHMEDABAD","Friday"
"12934","KARNAVATI EX","AHMEDABAD","MUMBAI CENTRAL","Saturday"
"12935","BDTS SURAT E","BANDRA TERMINUS","SURAT","Tuesday"
"12936","SURAT BDTS E","SURAT","BANDRA TERMINUS","Tuesday"
"12937","GARBHA EXPRE","GANDHIDHAM JN.","HOWRAH JN.","Saturday"
"12938","GARBHA EXPRE","HOWRAH JN.","GANDHIDHAM JN.","Saturday"
"12939","PUNE JAIPUR","PUNE JN.","JAIPUR JN.","Wednesday"
